OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
25,-3.7932,13.115,24,-2.825,0.6466,13,6.0942,0.16251,13,4.3375,0.054792,0.63459,0.63043,0.87983,0.88322,0.43751,0.47903,0.61757,0.68762
13,-4.8617,0.5691,1,-0.39806,0.29973,14,5.9424,0.20814,1,0,0,0.88482,0.80915,0.87046,NaN,0.38986,0.91509,0.67355,NaN
8,-2.807,3.2915,6,-1.5662,0.17721,14,4.5483,4.6734,1,0,0,0.57538,0.82266,0.87786,NaN,0.96049,0.61776,0.67104,NaN
6,-1.5889,47.559,1,-0.93764,0.036971,13,6.8808,7.1662,1,0,0,0.3675,0.80141,0.86047,NaN,0.27538,0.84638,0.68436,NaN
4,-1.7481,37.422,5,-1.3879,0.25964,14,5.6257,5.9878,1,0,0,0.33937,0.83834,0.86649,NaN,0.36103,0.59972,0.69598,NaN
10,-3.9495,4.0687,6,-1.4291,0.14943,14,5.6395,5.8488,1,0,0,0.81707,0.82618,0.87214,NaN,0.58275,0.61124,0.6862,NaN
22,-4.4098,4.1997,20,-3.6918,0.073186,15,4.718,0.05746,14,2.9028,2.9599,0.87665,0.78916,0.88307,0.86005,0.29204,0.39256,0.67523,0.85064
16,-5.1401,2.977,11,-2.7486,0.49354,15,4.0484,0.11497,18,3.5348,0.16669,0.90871,0.8718,0.89546,0.79239,0.29416,0.41633,0.62914,1.3995
10,-4.7215,0.0112,3,-1.0624,0.20611,14,5.7876,6.0729,1,0,0,0.91576,0.86129,0.84961,NaN,0.3732,0.59518,0.75041,NaN
20,-2.9236,2.5152,1,-0.019927,0.015799,12,8.3389,8.7096,1,0,0,0.76439,0.35489,0.84482,NaN,0.47141,3.8238,0.69248,NaN
8,-5.8218,5.7041,1,-0.54792,0.32529,14,8.2781,8.7122,1,0,0,0.87999,0.74692,0.85461,NaN,0.4975,1.1557,0.73476,NaN
23,-2.0173,1.3979,22,-0.77427,0.078486,13,4.7992,0.29416,13,2.3588,2.4154,0.68545,0.51179,0.87954,0.90168,0.51419,0.67337,0.61077,0.64095
25,-1.8268,6.1567,1,-0.093667,0.024285,13,8.0956,8.4097,1,0,0,0.53864,0.63231,0.84342,NaN,0.53575,1.7062,0.73295,NaN
7,-4.7485,0.055293,1,-0.23615,0.094976,14,8.0368,0.0016138,1,0,0,0.88592,0.67534,0.85367,NaN,0.498,1.4715,0.73338,NaN
21,-1.4756,2.7209,6,-0.85596,0.92451,13,3.9852,0.23599,15,3.0966,0.072661,0.51729,0.81843,0.8641,0.7641,0.69324,0.53431,0.655,1.2165
5,-4.7492,49.205,1,-0.7216,0.091936,12,4.8376,4.9539,1,0,0,0.74412,0.79831,0.86349,NaN,0.27357,0.83243,0.64645,NaN
3,-4.7592,4.9339,1,-0.53772,0.38482,14,9.0411,0.07789,1,0,0,0.86128,0.74878,0.8515,NaN,0.6712,1.1046,0.73714,NaN
1,-2.3596,0.22439,1,-0.026232,0.023829,14,9.1873,0.32682,1,0,0,0.81101,0.4567,0.85059,NaN,0.86269,2.9382,0.73159,NaN
24,-5.0456,1.2119,21,-1.6175,0.33348,15,7.165,0.23797,15,2.4934,0.12099,0.74014,0.5079,0.8336,0.88375,0.41733,0.70573,0.82079,0.77935
1,-3.0921,58.263,7,-0.85149,0.19137,12,4.5914,4.7504,1,0,0,0.50634,0.83944,0.85875,NaN,0.25043,0.54916,0.65726,NaN
